                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3021,                 4.4572,                 1.3489,                0.00318,                 0.9403,                0.00429,                0.00299,                      0,                    inf,                      0,                 0.0874,                 0.0014,                 0.0014
                      1,                0.96644,                 3.0196,                 1.0526,                0.00333,                0.98507,                0.12626,                0.07098,                      0,                    inf,                      0,               0.073871,              0.0028713,              0.0028713
                      2,                  1.036,                 1.8106,                 1.0364,                0.00338,                      1,                 0.8823,                0.73195,                      0,                    inf,                      0,               0.060313,              0.0043129,              0.0043129
                      3,                 1.0274,                 1.4556,                0.99938,                      1,                0.17304,                0.97685,                0.72169,                      0,                    inf,                      0,               0.046725,              0.0057248,              0.0057248
                      4,                 1.0005,                 1.3904,                0.99252,                0.98325,                0.87636,                0.97819,                0.65328,                      0,                    inf,                      0,               0.033107,               0.007107,               0.007107
                      5,                 1.1408,                 1.2866,                 1.0546,                0.96415,                0.85075,                0.96248,                0.73993,                      0,                    inf,                      0,               0.019459,              0.0084594,              0.0084594
                      6,                 1.0302,                 1.2107,                 1.0032,                0.95354,                0.91906,                0.96921,                0.71092,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      7,                 1.0266,                 1.2889,                  1.019,                0.88104,                0.86567,                0.91446,                0.68299,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.0323,                 1.3302,                 1.0198,                0.88094,                 0.8209,                0.93055,                0.72312,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                0.95187,                 1.1791,                0.99675,                0.90409,                0.86567,                0.93728,                0.74113,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.98686,                 1.0894,                  1.004,                0.92452,                0.91414,                0.96243,                0.67857,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                  1.037,                 1.0415,                0.99588,                0.85026,                0.84754,                0.86634,                0.63518,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.97249,                0.97944,                0.98382,                0.81978,                0.91045,                0.89163,                0.63083,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.0401,                  1.053,                 1.0472,                0.88377,                 0.9403,                0.93779,                0.70752,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.98418,                 1.0616,                 1.0327,                0.95546,                 0.9606,                0.97118,                0.73757,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.94646,                0.98813,                 1.0089,                0.87801,                0.96688,                0.96122,                 0.6998,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
